ex:SistemaAlimentacion400VAC ex:identificador "400 VAC +/-5%" ; ex:textoExtracto "400 VAC +/-5%." .
ex:SistemaAlimentacion230VAC ex:identificador "Sec. 230 VAC - 1000VA" ; ex:textoExtracto "Sec. 230 VAC - 1000VA" .
ex:EmpresaMurrelektronik ex:identificador "MURRELEKTRONIK" ; ex:textoExtracto "MURRELEKTRONIK" .
ex:EmpresaPilz ex:identificador "PILZ" ; ex:textoExtracto "PILZ" .
ex:EmpresaSchneiderElectric ex:identificador "Schneider Electric" ; ex:textoExtracto "Schneider Electric" .
ex:ComponenteElectrico26U1BasePNOZmulti ex:identificador "86051" ; ex:textoExtracto "86051 | 26U1 | PNOZmulti 2 base unit | RELE GESTION EMERGENCIAS | PILZ | PNOZ m B0 772100 | 1" .
ex:ComponenteElectrico26U1TerminalesPNOZmulti ex:identificador "PNOZ s Set1 spring loaded terminals" ; ex:textoExtracto "26U1 | 1 set of spring-loaded terminals | RELE GESTION EMERGENCIAS | PILZ | PNOZ s Set1 spring loaded terminals | 1" .
ex:ComponenteElectrico26U1ChipCardPNOZmm01p ex:identificador "779201" ; ex:textoExtracto "26U1 | ChipCard para PNOZ-mm01p | RELE GESTION EMERGENCIAS | PILZ | 779201 | 1" .
ex:ComponenteElectrico26U2ModuloEntradaPNOZmulti ex:identificador "772140" ; ex:textoExtracto "26U2 | PNOZmulti 2 Input module | RELE GESTION EMERGENCIAS | PILZ | PNOZ m EF 16DI 772140 | 1" .
ex:ComponenteElectrico26U2BornasPNOZ ex:identificador "751004" ; ex:textoExtracto "26U2 | PILZ Bornas de resorte PNOZ 4pines | RELE GESTION EMERGENCIAS | PILZ | 751004 | 1" .
ex:SensorColumnaLuminosaRojoIP65 ex:identificador "XVBC2B4" ; ex:textoExtracto "40U1 | Ø 70 mm unidad iluminada - estable - rojo - IP65 - 24 V-LED | SEÑALIZACION DEL ESTADO DE LA MAQUINA (COLUMNA LUMINOSA) | Schneider Electric | XVBC2B4 | 1" .
ex:SensorColumnaLuminosaVerdeIP65 ex:identificador "XVBC2B3" ; ex:textoExtracto "40U1 | Ø 70 mm unidad iluminada - estable - Verde - IP65 - 24 V-LED | SEÑALIZACION DEL ESTADO DE LA MAQUINA (COLUMNA LUMINOSA) | Schneider Electric | XVBC2B3 | 1" .
ex:SensorColumnaLuminosaNaranjaIP65 ex:identificador "XVBC2B5" ; ex:textoExtracto "40U1 | Ø 70 mm unidad iluminada - constante - naranja - IP65 - 24 V-LED | SEÑALIZACION DEL ESTADO DE LA MAQUINA (COLUMNA LUMINOSA) | Schneider Electric | XVBC2B5 | 1" .
