ex:Parametro_1 ex:Parametro ;
    rdfs:label "parámetro" ;
    ex:textoExtracto "El CNC guarda los primeros parámetros, desde el 1 hasta el definido en este parámetro." .

ex:Parametro_no_volatil ex:Parametro ;
    rdfs:label "parámetro no volátil" ;
    ex:textoExtracto "Se entiende como datos no volátiles aquellos cuyo valor hay que mantener entre las diferentes sesiones y apagados del CNC." .

ex:CNC ex:Maquina ;
    rdfs:label "CNC" ;
    ex:textoExtracto "El CNC guarda los primeros parámetros, desde el 1 hasta el definido en este parámetro. El CNC almacena estos datos cuando se apaga el CNC, ante una caída de tensión, cuando se produce un error de hardware o software, etc." .
